lang	lang_desc	denom	num	pct100str	pct100	denom_1	num_1	pct100str_1	pct100_1	denom_2	num_2	pct100str_2	pct100_2	denom_3	num_3	pct100str_3	pct100_3	denom_4	num_4	pct100str_4	pct100_4	denom_5	num_5	pct100str_5	pct100_5
sk	Slovak	2499	1874	75.0	74.98999599839937	503	439	87.3	87.27634194831013	503	393	78.1	78.13121272365805	500	377	75.4	75.4	500	346	69.2	69.2	493	319	64.7	64.70588235294117
mk	Macedonian	2499	1868	74.7	74.74989995998399	503	431	85.7	85.68588469184891	503	381	75.7	75.7455268389662	500	385	77.0	77.0	500	340	68.0	68.0	493	331	67.1	67.13995943204868
ga	Irish	2499	1843	73.7	73.74949979991997	503	431	85.7	85.68588469184891	503	381	75.7	75.7455268389662	500	362	72.4	72.4	500	362	72.4	72.4	493	307	62.3	62.27180527383367
mi	Māori	2499	1822	72.9	72.90916366546618	503	349	69.4	69.38369781312127	503	395	78.5	78.52882703777335	500	366	73.2	73.2	500	372	74.4	74.4	493	340	69.0	68.96551724137932
ka	Georgian	2499	1810	72.4	72.42897158863545	503	412	81.9	81.90854870775348	503	375	74.6	74.55268389662028	500	364	72.8	72.8	500	329	65.8	65.8	493	330	66.9	66.93711967545639
sl	Slovene	2499	1764	70.6	70.58823529411765	503	426	84.7	84.69184890656064	503	374	74.4	74.35387673956262	500	350	70.0	70.0	500	316	63.2	63.2	493	298	60.4	60.446247464503045
az	Azerbaijani	2499	1723	68.9	68.94757903161265	503	399	79.3	79.32405566600397	503	361	71.8	71.76938369781313	500	356	71.2	71.2	500	316	63.2	63.2	493	291	59.0	59.026369168357
th	Thai	2499	1721	68.9	68.86754701880753	503	411	81.7	81.70974155069582	503	359	71.4	71.37176938369781	500	342	68.4	68.4	500	325	65.0	65.0	493	284	57.6	57.606490872210955
nb	Bokmål	2499	1706	68.3	68.26730692276911	503	345	68.6	68.58846918489066	503	351	69.8	69.78131212723657	500	362	72.4	72.4	500	314	62.8	62.8	493	334	67.7	67.74847870182556
lv	Latvian	2499	1642	65.7	65.7062825130052	503	389	77.3	77.33598409542743	503	343	68.2	68.19085487077535	500	319	63.8	63.8	500	306	61.2	61.2	493	285	57.8	57.809330628803245
et	Estonian	2499	1625	65.0	65.02601040416167	503	389	77.3	77.33598409542743	503	339	67.4	67.39562624254474	500	328	65.6	65.6	500	287	57.4	57.4	493	282	57.2	57.20081135902637
id	Indonesian	2499	1621	64.9	64.86594637855143	503	367	73.0	72.96222664015905	503	337	67.0	66.99801192842942	500	333	66.6	66.6	500	300	60.0	60.0	493	284	57.6	57.606490872210955
is	Icelandic	2499	1616	64.7	64.66586634653862	503	406	80.7	80.71570576540755	503	331	65.8	65.8051689860835	500	314	62.8	62.8	500	285	57.0	57.0	493	280	56.8	56.79513184584179
gd	Scottish Gaelic	2499	1563	62.5	62.545018007202884	503	373	74.2	74.15506958250496	503	331	65.8	65.8051689860835	500	317	63.4	63.4	500	283	56.6	56.6	493	259	52.5	52.53549695740365
sq	Albanian	2499	1529	61.2	61.184473789515806	503	378	75.1	75.14910536779324	503	321	63.8	63.81709741550696	500	311	62.2	62.2	500	272	54.4	54.4	493	247	50.1	50.10141987829615
km	Khmer	2499	1528	61.1	61.144457783113246	503	389	77.3	77.33598409542743	503	315	62.6	62.62425447316103	500	306	61.2	61.2	500	274	54.8	54.8	493	244	49.5	49.49290060851927
ms	Malay	2499	1520	60.8	60.82432973189276	503	369	73.4	73.35984095427435	503	312	62.0	62.02783300198807	500	303	60.6	60.6	500	283	56.6	56.6	493	253	51.3	51.3184584178499
lt	Lithuanian	2499	1492	59.7	59.70388155262105	503	364	72.4	72.36580516898609	503	307	61.0	61.0337972166998	500	299	59.8	59.8	500	272	54.4	54.4	493	250	50.7	50.70993914807302
cy	Welsh	2499	1474	59.0	58.98359343737495	503	385	76.5	76.54075546719682	503	297	59.0	59.04572564612326	500	285	57.0	57.0	500	259	51.8	51.8	493	248	50.3	50.30425963488844
ur	Urdu	2499	1422	56.9	56.90276110444178	503	368	73.2	73.1610337972167	503	302	60.0	60.03976143141153	500	285	57.0	57.0	500	250	50.0	50.0	493	217	44.0	44.01622718052738
kk	Kazakh	2499	1399	56.0	55.982392957182874	503	305	60.6	60.636182902584494	503	293	58.3	58.25049701789264	500	291	58.2	58.2	500	257	51.4	51.4	493	253	51.3	51.3184584178499
tl	Tagalog	2499	1370	54.8	54.8219287715086	503	320	63.6	63.618290258449306	503	267	53.1	53.08151093439364	500	268	53.6	53.6	500	269	53.8	53.8	493	246	49.9	49.89858012170385
uz	Uzbek	2499	1290	51.6	51.62064825930372	503	307	61.0	61.0337972166998	503	270	53.7	53.6779324055666	500	275	55.0	55.0	500	231	46.2	46.2	493	207	42.0	41.987829614604465
tg	Tajik	2499	1283	51.3	51.340536214485795	503	306	60.8	60.834990059642145	503	276	54.9	54.87077534791253	500	266	53.2	53.2	500	229	45.8	45.8	493	206	41.8	41.78498985801217
yi	Yiddish	2499	1279	51.2	51.18047218887555	503	361	71.8	71.76938369781313	503	256	50.9	50.89463220675945	500	254	50.8	50.8	500	216	43.2	43.2	493	192	38.9	38.945233265720084
ky	Kyrgyz	2499	1269	50.8	50.78031212484994	503	301	59.8	59.84095427435388	503	265	52.7	52.68389662027833	500	270	54.0	54.0	500	230	46.0	46.0	493	203	41.2	41.1764705882353
oc	Occitan	2499	1226	49.1	49.05962384953982	503	330	65.6	65.60636182902584	503	269	53.5	53.47912524850894	500	227	45.4	45.4	500	221	44.2	44.2	493	179	36.3	36.308316430020284
nn	Nynorsk	2499	1210	48.4	48.41936774709884	503	262	52.1	52.087475149105366	503	256	50.9	50.89463220675945	500	244	48.8	48.8	500	211	42.2	42.2	493	237	48.1	48.073022312373226
lo	Lao	2499	1200	48.0	48.019207683073226	503	321	63.8	63.81709741550696	503	252	50.1	50.09940357852883	500	239	47.8	47.8	500	207	41.4	41.4	493	181	36.7	36.71399594320487
