lang_name1	lang_name2	lang_name3	n_page_w_tr	n_tte_w_tr	n_tte_wo_tr	n_tte_icho_w_tr
Anaang			1	1	0	1
Anakalangu			2	2	0	2
Anambé			2	2	0	2
Anauyá			1	1	0	1
Ancient			1	1	0	1
Ancient Greek			5	5	0	5
Ancient Macedonian			2	2	0	2
Andegerebinha			0	0	1	0
Andi			87	87	0	87
Andio			2	2	0	2
Andoa			1	1	0	1
Andoque			2	2	0	2
Andoquero			1	1	0	1
Andra-Hus			1	1	0	1
Aneityum			4	4	0	4
Anem			1	1	0	1
Aneme Wake			8	8	0	8
Angaataha			5	5	0	5
Angal Enen			2	2	0	2
Angami			3	3	0	3
Angevin			1	1	0	1
Angika			18	19	3	19
Anglo-Norman			1	1	0	1
Anglo-Saxon			1	1	0	1
Angloromani			4	4	0	4
Angolar			3	3	0	3
Angor			9	9	0	9
Angoram			1	1	0	1
Anii			1	1	0	1
Animere			1	1	0	1
Anindilyakwa			3	3	2	3
Anjam			1	1	0	1
Ankave			3	3	0	3
Anmatyerre			3	3	0	3
Annobonese			3	3	0	3
Anong			1	1	0	1
Ansus			3	3	0	3
Antigua and Barbuda Creole English			28	28	0	28
Antillean Creole			179	195	4	199
Antillean Creole	Grenadian		1	1	0	
Antillean Creole	Martinican Creole		11	11	0	
Anuak			1	1	0	1
Anufo			1	1	0	1
Anuki			2	2	0	2
Anus			3	3	0	3
Anuta			5	5	0	5
Anyi			6	7	2	7
Anāl			1	1	0	1
Ao			1	1	192	1
Aoheng			4	4	0	4
Aore			1	1	0	1
Apabhramsa			2	2	1	3
Apabhramsa	Devanagari		1	1	0	
Apabhramsa	Sharada		1	1	0	
Apache			0	0	405	400
Apache	Chiricahua		33	34	2	
Apache	Jicarilla		42	43	0	
Apache	Lipan		5	5	0	
Apache	Plains Apache		9	9	1	
Apache	Western Apache		358	375	5	
Apachean			0	0	1	1
Apachean	Navajo		0	0	1	
Apachean	Western Apache		1	1	0	
Apalachee			1	1	0	1
Apalaí			15	15	0	15
Apali			1	1	0	1
Apatani			4	4	1	4
Apiaká			5	5	0	5
Apinayé			10	10	0	10
Apma			1	1	0	1
Apurinã			5	5	0	5
Aputai			2	2	0	2
Arab			0	0	1	0
Arabana			1	1	0	1
Arabela			3	3	0	3
Arabian			1	1	0	1
Arabic			22499	27767	2159	28268
Arabic	Algerian Arabic		68	72	0	
Arabic	Andalusian Arabic		6	6	1	
Arabic	Baghdadi Arabic		1	1	0	
Arabic	Baharna Arabic		4	4	2	
Arabic	Chadian Arabic		115	120	2	
Arabic	Cypriot Arabic		13	13	0	
Arabic	Dhofari Arabic		1	1	1	
Arabic	Egypt		1	1	0	
Arabic	Egyptian Arabic		2730	3127	5	
Arabic	Gulf Arabic		544	599	0	
Arabic	Hassaniya Arabic		6	6	1	
Arabic	Hassaniyyah Arabic		1	1	0	
Arabic	Hijazi Arabic		1871	2129	0	
Arabic	Iraqi Arabic		129	134	1	
Arabic	Juba Arabic		63	65	0	
Arabic	Judeo-Arabic		2	2	0	
Arabic	Levantine Arabic		2	2	0	
Arabic	Libyan Arabic		30	30	1	
Arabic	Mesopotamian Arabic		3	4	0	
Arabic	Moroccan Arabic		1104	1273	5	
Arabic	Najdi Arabic		14	14	1	
Arabic	North Levantine Arabic		282	299	3	
Arabic	North Mesopotamian Arabic		6	6	1	
Arabic	Omani Arabic		2	2	0	
Arabic	South Levantine Arabic		656	718	3	
Arabic	Sudanese Arabic		35	35	1	
Arabic	Tunisian Arabic		111	130	1	
Arabic	Yemeni Arabic		18	18	1	
Arabic	ِEgyptian Arabic		1	1	0	
Arabic 			1	1	0	1
ArabicArabic			0	0	1	1
ArabicArabic	Egyptian Arabic		1	1	0	
Aragonese			1199	1313	83	1313
Araki			7	7	0	7
Aramaic			220	231	2040	2226
Aramaic	Aramaic		1	1	0	
Aramaic	Assyrian Neo-Aramaic		918	1188	52	
Aramaic	Biblical Aramaic		5	5	0	
Aramaic	Bohtan Neo-Aramaic		0	0	1	
Aramaic	Chaldean Neo-Aramaic		0	0	1	
Aramaic	Christian Palestinian Aramaic		11	13	0	
Aramaic	Classical Mandaic		13	13	2	
Aramaic	Classical Syriac		668	772	13	
Aramaic	Classical Syriac	East Syriac	1	1	0	
Aramaic	Classical Syriac	West Syriac	1	1	0	
Aramaic	Galilean Aramaic		1	1	0	
Aramaic	Hatran/Ashurian Aramaic		1	1	0	
Aramaic	Hebrew script		166	199	0	
Aramaic	Hulaulá		0	0	1	
Aramaic	Hértevin		0	0	1	
Aramaic	Imperial		1	1	0	
Aramaic	Imperial Aramaic		6	7	0	
Aramaic	Jewish		12	15	0	
Aramaic	Jewish Aramaic		48	62	0	
Aramaic	Jewish Babylonian Aramaic		104	119	0	
Aramaic	Jewish Literary Aramaic		6	6	0	
Aramaic	Jewish Neo-Aramaic		4	4	0	
Aramaic	Jewish Northeastern Neo-Aramaic		1	1	0	
Aramaic	Jewish Palestinian Aramaic		25	28	0	
Aramaic	Koy Sanjaq Surat		0	0	1	
Aramaic	Lishana Deni		14	15	1	
Aramaic	Lishanid Noshan		0	0	1	
Aramaic	Lishán Didán		0	0	1	
Aramaic	Mandaic		12	13	2	
Aramaic	Mlahsö		0	0	1	
Aramaic	Nabataean Aramaic		1	1	0	
Aramaic	Palestinian		3	3	0	
Aramaic	Palestinian Aramaic		1	1	0	
Aramaic	Palmyrene Aramaic		4	4	0	
Aramaic	Samaritan Aramaic		4	4	0	
Aramaic	Senaya		0	0	2	
Aramaic	Square script		1	1	0	
