lang_name1	lang_name2	lang_name3	n_page_w_tr	n_tte_w_tr	n_tte_wo_tr	n_tte_icho_w_tr
Bunu	Bu-Nao Bunu		1	1	0	
Bunun			35	35	1	35
Buol			2	2	0	2
Bura			7	7	0	7
Bura Mabang			1	1	1	1
Burarra			10	10	1	10
Burate			0	0	1	0
Burji			4	4	0	4
Burmese			5795	6381	352	6381
Burmeso			1	1	0	1
Buru (Indonesia)			2	2	0	2
Burumakok			0	0	1	0
Burun			2	2	0	2
Burushaski			23	23	6	23
Burusu			2	2	0	2
Buruwai			1	1	0	1
Buryat			679	707	2	707
Buryat	Old Buryat		12	12	0	
Busa			1	1	0	1
Busam			1	1	0	1
Busami			1	1	0	1
Busang Kayan			2	2	0	2
Buso			0	0	1	0
Butuanon			23	23	0	23
Buwal			2	2	0	2
Buyang			0	0	1	1
Buyang	E'ma Buyang		1	1	0	
Buyang	En		1	1	0	
Buyang	Langnian Buyang		1	1	0	
Buyang	Yerong		1	1	0	
Bwa			1	1	0	1
Bwaidoka			1	1	0	1
Bwala			1	1	0	1
Bwanabwana			3	3	0	3
Bwatoo			2	2	0	2
Bwile			1	1	0	1
Byangsi			1	1	0	1
Byzantine Greek			1	1	0	1
Caac			4	4	0	4
Cabiyarí			2	2	0	2
Cabécar			4	4	0	4
Cacua			2	2	0	2
Cacán			1	1	0	1
Caddo			7	7	0	7
Cahuarano			3	3	0	3
Cahuilla			56	57	0	57
Caijia			8	8	0	8
Caka			2	2	0	2
Calamian Tagbanwa			4	4	0	4
Calusa			1	1	0	1
Caluyanun			1	1	0	1
Caló			45	88	0	88
Cambodian			0	0	1	0
Cameroon Pidgin			3	3	0	3
Camsá			4	4	0	4
Candoshi-Shapra			2	2	0	2
Canela			21	21	0	21
Cantonese			1	1	0	1
Capanahua			2	2	0	2
Capiznon			7	7	0	7
Cara			1	1	0	1
Carapana			3	3	0	3
Carian			2	2	0	2
Caribbean Hindustani			13	13	0	13
Carijona			4	4	0	4
Carolinian			6	6	1	6
Carpathian Rusyn			944	980	44	980
Carrier			10	10	1	11
Carrier	Southern Carrier		1	1	0	
Cashibo-Cacataibo			1	1	0	1
Cashinahua			3	3	0	3
Catacao			2	2	0	2
Catalan			35058	47397	172	47393
Catalan	Old Catalan		9	9	0	
Catalan	Valencian		62	92	0	
Catalan Sign Language			0	0	6	0
Català			1	3	0	3
Catawba			35	36	1	36
Catuquinaru			2	2	0	2
Catío Chibcha			1	1	0	1
Cavineña			4	4	0	4
Cayubaba			1	1	0	1
Cayuga			15	15	3	15
Cebuano			1913	2270	17	2268
Celtiberian			2	2	0	2
Central Atlas Tamazight			222	230	0	229
Central Bai			1	1	0	1
Central Bikol			40	43	0	43
Central Huasteca Nahuatl			1	1	0	1
Central Kurdish			2	3	0	3
Central Nahuatl			1	1	0	1
Central Siberian Yupik			7	7	0	7
Central Tagbanwa			1	1	0	1
Ceq Wong			1	1	0	1
Cerma			18	19	0	19
Ch'orti'			18	18	0	18
Chachi			5	5	0	5
Chadong			7	7	0	7
Chagatai			109	115	0	115
Chaha			1	1	0	1
Chaima			1	1	0	1
Chairel			1	1	0	1
Chakma			73	73	134	73
Cham			1	1	106	87
Cham	Eastern Cham		79	80	20	
Cham	Western Cham		20	20	40	
Chamalal			3	3	1	3
Chamba Daka			1	1	0	1
Chambeali			1	1	0	1
Chambri			2	2	0	2
Chamicuro			496	517	0	517
Chamorro			119	121	14	121
Champenois			17	17	1	17
Chang			2	2	0	2
Chaná			1	1	0	1
Chapacura			1	1	0	1
Charrua			1	1	0	1
Chatino			0	0	15	15
Chatino	Nopala Chatino		1	1	0	
Chatino	San Juan Quiahije Chatino		3	3	0	
Chatino	Tataltepec Chatino		9	10	0	
Chatino	Tataltepec Coastal Chatino		1	2	0	
Chatino	Western Highland Chatino		6	6	0	
Chatino	Zacatepec Chatino		2	2	0	
Chatino	Zenzontepec Chatino		1	1	0	
Chaudangsi			1	1	0	1
Chaura			1	1	0	1
Chavacano			52	53	0	53
Chayahuita			3	3	0	3
Chechen			1745	2045	125	2043
Cheke Holo			5	5	0	5
Chenoua			0	0	1	0
Chepang			69	69	0	69
Cherepon			2	2	0	2
Cherokee			2522	2721	75	2721
Chewong			6	6	0	6
Cheyenne			240	244	2	244
Chhattisgarhi			5	5	37	5
Chibcha			3	3	0	3
Chichewa			816	881	34	881
Chichimeca-Jonaz			1	1	0	1
Chichonyi-Chidzihana-Chikauma			9	15	0	15
Chickasaw			382	501	0	501
Chilcotin			5	5	0	5
Chimila			2	2	0	2
Chimwiini			2	2	0	2
Chin			0	0	70	70
Chin	Daai Chin		1	1	0	
Chin	Falam Chin		13	13	0	
Chin	Khumi Chin		15	15	0	
Chin	Lautu Chin		2	2	0	
Chin	Mara Chin		5	5	0	
Chin	Tedim Chin		56	56	0	
Chin	Thado Chin		1	1	0	
Chinali			4	4	0	4
Chinantec			0	0	13	13
Chinantec	Lealao Chinantec		4	4	0	
Chinantec	Ozumacín Chinantec		5	5	0	
Chinantec	Palantla Chinantec		6	6	0	
Chinantec	Sochiapam Chinantec		2	2	0	
Chinantec	Tlacoatzintepec Chinantec		1	1	0	
Chinantec	Usila Chinantec		1	1	0	
Chinantec	Valle Nacional Chinantec		1	1	0	
Chinese			749	778	64378	63251
Chinese	CJKV Characters		1	1	0	
Chinese	Cantonese		9537	10723	88	
Chinese	Cantonese	Cantonese	3	3	0	
Chinese	Cantonese	Mandarin	1	1	0	
Chinese	Chinese		5	5	1	
Chinese	Classical Chinese		8	8	0	
Chinese	Dalian Mandarin		1	1	0	
Chinese	Dungan		877	949	7	
Chinese	Early Mandarin		1	1	0	
Chinese	Eastern Min		784	883	10	
Chinese	Gan		204	207	7	
Chinese	Hainanese		1	1	0	
Chinese	Hakka		1206	1322	19	
Chinese	Hokkien		2914	3201	51	
Chinese	Huizhou		1	1	0	
Chinese	Jin		202	205	0	
Chinese	Literary Chinese		61	64	0	
Chinese	Madarin		1	1	0	
Chinese	Manadrin		1	1	0	
Chinese	Mandarin		49254	61946	1856	
Chinese	Mandarin	Sichuanese	1	1	0	
Chinese	Mandarin	Simplified	1	1	0	
Chinese	Middle Chinese		0	0	3	
Chinese	Min Nan		78	80	1	
Chinese	Northern Min		198	201	3	
Chinese	Puxian Min		5	5	0	
Chinese	Shanghainese Wu		1	1	0	
Chinese	Shaozhou Tuhua		1	1	0	
Chinese	Simplified		3	4	0	
Chinese	Simplified Chinese		1	1	0	
Chinese	Southern Min		11	11	1	
Chinese	Southern Min	Hokkien	2	2	0	
Chinese	Taishanese		5	5	0	
Chinese	Tangwang		1	1	0	
Chinese	Tazi		1	1	0	
Chinese	Teochew		75	81	0	
Chinese	Traditional		2	2	0	
Chinese	Traditional Chinese		1	1	0	
Chinese	Wu		917	962	7	
Chinese	Xiamen Hokkien		1	1	0	
Chinese	Xiang		195	199	3	
Chinese Pidgin English			4	4	0	4
Chinese Pidgin Russian			10	10	3	13
Chinese Pidgin Russian	Kyakhta dialect		3	3	0	
Chinese Sign Language			1	1	0	1
Chinook			2	2	0	2
Chinook Jargon			118	125	1	125
Chipaya			2	2	0	2
Chipewyan			17	17	1	17
Chiquimulilla			2	2	0	2
Chiquitano			3	3	0	3
Chirino			2	2	0	2
Chitimacha			3	3	0	3
Chittagonian			8	8	0	8
Chiwere			3	3	0	3
Chochotec			1	1	0	1
Choctaw			324	343	1	344
Choctaw	Modified traditional		1	1	0	
Choctaw	Traditional		1	1	0	
Choctaw	West Circassian		0	0	2	
Chokwe			3	3	0	3
Chol			19	19	0	19
Chong			2	2	0	2
Chontal Maya			4	4	0	4
Chopi			2	2	0	2
Chrau			2	2	0	2
Chru			2	2	0	2
Chuabo			4	4	0	4
Chuave			2	2	0	2
Chuj			7	8	0	8
Chuka			2	2	0	2
Chukchi			354	364	0	364
Chulym			8	8	0	8
Chumburung			5	6	0	6
Chungli Ao			1	1	0	1
Churuya			1	1	0	1
Chut			1	1	0	1
Chuukese			136	137	1	137
Chuvash			1262	1302	12	1302
Chácobo			2	2	0	2
Cia-Cia			11	12	3	12
Cibak			1	1	0	1
Cicipu			1	1	0	1
Ciguayo			1	1	0	1
Cimbrian			139	142	5	142
Cinta Larga			2	2	0	2
Circassian			0	0	755	689
Circassian	East Circassian		372	384	24	
Circassian	West Circassian		556	571	54	
Classical Gaelic			1	1	7	1
Classical Syriac			1	1	0	1
Coahuilteco			1	1	0	1
Cocama			5	5	0	5
Cochimi			1	1	0	1
Cocopa			5	5	0	5
Cocos Islands Malay			5	5	0	5
Coeur d'Alene			5	6	0	6
Cofán			5	5	0	5
Cogui			2	2	0	2
Col			1	1	0	1
Colonia Tovar German			0	0	1	0
Columbia-Wenatchi			4	4	0	4
Colán			2	2	0	2
Comanche			39	40	0	40
Comorian			0	0	1269	1269
Comorian	Maore Comorian		318	327	0	
Comorian	Mwali Comorian		18	19	0	
Comorian	Ndzwani Comorian		25	26	0	
Comorian	Ngazidja Comorian		963	1042	0	
Comorian	Ngazidja Comorian	Maore Comorian	1	1	0	
Comox			16	16	0	16
Coos			1	1	0	1
Copallén			2	2	0	2
Coptic			682	727	100	811
Coptic	Akhmimic		1	2	0	
Coptic	Akhmimic Coptic		4	4	0	
Coptic	Bohairic		2	3	0	
Coptic	Bohairic Coptic		73	76	0	
Coptic	Fayyumic		1	2	0	
Coptic	Fayyumic Coptic		6	6	0	
Coptic	Lycopolitan		1	2	0	
Coptic	Lycopolitan Coptic		1	1	0	
Coptic	Old Coptic		2	3	0	
Coptic	Oxyrhynchite Coptic		2	2	0	
Coptic	Sahidic		2	3	0	
Coptic	Sahidic Coptic		69	74	0	
Coptic	Sahidic, Fayyumic		1	1	0	
Cora			8	8	0	8
Cornish			2177	2494	16	2507
Cornish	Common Cornish, Standard Written Form		1	1	0	
Cornish	Kernewek Kemmyn		4	8	0	
Cornish	Kernowek Standard		1	1	0	
Cornish	Old Cornish		1	1	0	
Cornish	Standard Cornish		4	4	0	
Coroado Puri			1	1	0	1
Corsian			1	1	0	1
Corsican			1153	1274	44	1274
Corsican	Ajaccian		5	5	0	
Corsican	Ajaccino		1	1	0	
Corsican	Gallurese		1	1	0	
Cotoname			1	1	0	1
Cowlitz			13	13	0	13
Cree			164	166	170	326
Cree	Atikamekw		66	68	0	
Cree	East Cree		0	0	4	
Cree	East Cree	Northern East Cree	3	3	0	
Cree	East Cree	Southern East Cree	4	4	0	
Cree	Montagnais		88	89	4	
Cree	Moose Cree		4	5	0	
Cree	Naskapi		8	10	4	
Cree	Northern East Cree		17	19	0	
Cree	Plains Cree		74	77	0	
Cree	Southern East Cree		15	17	0	
Cree	Swampy Cree		1	2	0	
Cree	Woods Cree		5	6	0	
Creek			32	32	2	32
Crimean Gothic			9	9	0	9
Crimean Tartar			1	1	0	1
Crimean Tatar			1745	1890	53	1903
Crimean Tatar	Crimean Latin		1	2	0	
Crimean Tatar	Cyrillic		16	16	0	
Crimean Tatar	Dobrujan Tatar		5	5	0	
Crimean Tatar	Latin		11	11	0	
Crimean Tatar	Northern dialect		1	1	0	
Crimean Tatar	Romanian Latin		1	2	0	
Crimean Tatar	Southern dialect		1	1	0	
Crimean Tatar (Romania)			1	1	0	1
Croatian			5	5	0	5
Cross River Mbembe			1	1	0	1
Crow			22	22	0	22
Cruzeño			2	2	0	2
Cua			1	1	0	1
Cubeo			4	4	0	4
Cuiba			3	3	0	3
Cuicatec			0	0	9	9
Cuicatec	Tepeuxila Cuicatec		9	9	0	
Cuitlatec			1	1	0	1
Culina			2	2	0	2
Culli			2	2	0	2
Cuman			3	3	0	3
Cuman	Armeno-Kipchak		1	1	0	
Cumanagoto			1	1	0	1
Cun			4	4	0	4
Cung			1	1	0	1
Cupeño			6	6	0	6
Curripaco			2	2	0	2
Cuvok			1	1	0	1
Cuyunon			11	12	0	12
Cypriot Greek			1	1	0	1
Cyrillic			4	4	1	5
Cyrillic	Russian		1	1	0	
Czech			32264	44134	529	44157
Czech	Old Czech		180	183	0	
Czech Sign Language			1	1	0	1
Cèmuhî			17	17	0	17
Daakaka			1	1	0	1
Daasanach			2	2	0	2
Daba			1	1	0	1
Dacian			7	7	0	7
Dadibi			1	1	0	1
Daga			1	1	0	1
Dagbani			35	36	3	36
Dagik			1	1	0	1
Dahalik			1	1	2	1
Dahalo			1	1	0	1
Dai			1	1	0	1
Dakota			76	78	2	78
Dakpa			1	1	0	1
Dalmatian			650	683	2	683
Dama (Sierra Leone)			1	1	0	1
Dan			2	2	1	2
Dangaléat			1	1	0	1
Dani			0	0	1	1
Dani	Lower Grand Valley Dani		1	1	0	
Dani	Western Dani		1	1	0	
Danish			25024	33910	1941	33903
Danish	North		1	1	0	
Danish	Old Danish		10	10	0	
Danish	Saterland		1	1	0	
Danish	West		1	1	0	
Dano			1	1	0	1
Dargwa			142	145	0	145
Darkinjung			50	53	0	53
Darmiya			1	1	0	1
Datooga			1	1	0	1
Daur			105	110	0	110
Dawawa			1	1	0	1
Dawera-Daweloor			3	3	0	3
Dawro			1	1	0	1
Day			1	1	0	1
Dayi			1	1	0	1
Dazaga			3	3	0	3
Deccani			5	6	0	6
Defaka			9	9	0	9
Deg			1	1	0	1
Deg Xinag			10	10	0	10
Degema			6	6	0	6
Degenan			1	1	0	1
Dema			0	0	1	0
Demisa			1	1	0	1
Dena'ina			40	41	0	41
Dendi			1	1	0	1
Dene			1	1	0	1
Denya			1	1	0	1
Dení			4	4	0	4
Deori			7	7	0	7
Desano			4	4	0	4
Desiya			1	1	0	1
Deutch			1	1	0	1
Deyah			1	1	0	1
Dhangu			0	0	1	0
Dharug			21	22	0	22
Dhatki			1	1	0	1
Dhimal			2	2	0	2
Dhivehi			816	834	175	835
Dhivehi	Dhives Akuru		1	1	0	
Dhivehi	Thaana		1	1	0	
Dhuwal			16	16	0	16
Dia			1	1	0	1
Dibiyaso			2	2	0	2
Dida			1	1	0	1
Dieri			11	11	0	11
Digo			9	9	0	9
Dii			4	4	0	4
Dilling			1	1	0	1
Dimasa			4	4	0	4
Dime			4	4	0	4
Dinajpuria			1	1	0	1
Dineor			1	1	0	1
Dinka			79	79	32	89
Dinka	Northwestern Dinka		1	1	0	
Dinka	Southwestern Dinka		10	10	0	
Diodio			1	1	0	1
Dirasha			2	2	0	2
Ditidaht			3	3	0	3
Dixon Reef			1	1	0	1
Dizin			1	1	0	1
Djambarrpuyngu			2	2	1	2
Djawi			1	1	0	1
Djinang			2	2	0	2
Dobel			2	2	0	2
Dobrujan Tatar			8	8	0	8
Dobu			2	2	0	2
Doe			2	2	0	2
Doga			1	1	0	1
Dogon			0	0	5	5
Dogon	Ampari Dogon		1	1	0	
Dogon	Ana Tinga Dogon		1	1	0	
Dogon	Bankan Tey Dogon		1	1	0	
Dogon	Bunoge		1	1	0	
Dogon	Dogul Dom		1	1	0	
Dogon	Jamsay		3	3	0	
Dogon	Tebul Ure Dogon		1	1	0	
Dogon	Tommo So		2	2	0	
Dogon	Toro So Dogon		1	1	0	
Dogon	Yanda Dogon		2	2	0	
Dogri			15	15	2	15
Dogrib			36	36	1	36
Dolgan			199	211	0	211
Domari			1	1	2	1
Dompo			1	1	0	1
Dong			0	0	1	0
Dongolawi			3	3	2	3
Dongotono			1	1	0	1
Dongxiang			119	127	0	127
Dorig			1	1	0	1
Doromu-Koki			2	2	0	2
Dorze			2	2	0	2
Doteli			31	31	0	31
Doura			1	1	0	1
Doutai			1	1	0	1
Drehu			3	3	2	3
Drung			84	84	0	84
Duala			15	15	0	15
Duau			2	2	0	2
Dubu			1	1	0	1
Duhwa			2	2	0	2
Dukha			1	1	0	1
Duma			1	1	0	1
Dumbea			2	2	0	2
Dumi			3	3	0	3
Dupaningan Agta			1	1	0	1
Dupaningan agta			1	1	0	1
Duri			1	1	0	1
Duriankere			1	1	0	1
Dusner			4	4	0	4
Dusun			16	16	209	225
Dusun	Central Dusun		208	209	0	
Dusun Deyah			2	2	0	2
Dusun Witu			2	2	0	2
Dutch			40336	57429	413	57430
Dutch	Aalsters		1	1	0	
Dutch	Amelandic		1	1	0	
Dutch	Flemish		1	2	0	
Dutch	Hague dialect		1	1	0	
Dutch	Jersey Dutch		8	8	0	
Dutch	Middle Dutch		39	40	1	
Dutch	Old Dutch		44	46	0	
Dutch	The Hague dialect		2	3	0	
Duun			2	2	0	2
Duvle			1	1	0	1
Duwai			7	7	0	7
Duwet			2	2	0	2
Dyaabugay			3	3	0	3
Dyirbal			21	22	1	22
Dyula			15	17	1	17
Dzala			1	1	0	1
Dzongkha			406	414	40	414
Dzuun			1	1	0	1
Dâw			3	3	0	3
E			10	10	0	10
East Circassian			8	8	0	8
East Damar			2	2	0	2
East Frisian Low German			72	74	0	74
East Futuna			22	22	0	22
East Nyala			9	9	0	9
East Yugur			15	16	0	16
Eastern Acipa			1	1	0	1
Eastern Arrernte			1	1	0	1
Eastern Huasteca Nahuatl			1	1	0	1
Eastern Mari			1	1	0	1
Eastern Pomeranian			2	2	0	2
Eastern Yugur			1	1	0	1
Ebira			1	1	0	1
Eblaite			6	6	0	6
Ebrié			1	1	0	1
Ebughu			1	1	0	1
Ecclesiastical Latin			6	6	0	6
Ecuadorian Sign Language			0	0	1	0
Ede			0	0	42	42
Ede	Ede Idaca		1	1	0	
Ede	Ede Nago		1	1	0	
Ede	Ifè		40	42	0	
Edo			44	44	0	44
Edomite			1	1	0	1
Edopi			1	1	0	1
Efai			1	1	0	1
Efate			0	0	14	14
Efate	North Efate		3	3	0	
Efate	South Efate		14	14	0	
Efik			7	7	4	7
Efutop			2	2	0	2
Ega			7	7	0	7
Eggon			1	1	0	1
Egyptian			1091	1194	18	1203
Egyptian	Akhmimic, Lycopolitan		1	1	0	
Egyptian	Archaic Egyptian, Old Egyptian, Middle Egyptian		1	1	0	
Egyptian	Demotic Egyptian		10	10	0	
Egyptian	Late Egyptian		2	2	0	
Egyptian	Middle and Late Egyptian		1	1	0	
Egyptian	Old Egyptian		1	1	0	
Egyptian	Old Egyptian, Middle Egyptian		1	1	0	
Egyptian	Sahidic, Akhmimic, Lycopolitan		1	1	0	
Ejagham			1	1	0	1
Ekajuk			2	2	0	2
Ekari			1	1	1	1
Ekit			1	1	0	1
Ekpeye			3	3	0	3
Elamite			14	14	1	15
Elamite	Achaemenid Elamite		1	1	0	
Eleme			1	1	0	1
Elfdalian			347	352	0	352
Elkei			2	2	0	2
Eloyi			1	1	0	1
Emae			1	1	0	1
Eman			2	2	0	2
Embaloh			8	8	0	8
Emberá-Catío			2	2	0	2
Emberá-Chamí			2	2	0	2
Emberá-Tadó			2	2	0	2
Embu			2	2	0	2
Emerillon			3	3	0	3
Emilian			209	241	60	241
Emilian	Bolognese		2	2	0	
Emplawas			1	1	0	1
Ende			4	4	0	4
Enets			0	0	24	24
Enets	Forest Enets		20	20	0	
Enets	Tundra Enets		10	10	0	
Enga			17	17	0	17
Engenni			6	6	0	6
Enggano			4	4	0	4
Enwan			1	1	0	1
Enwang			1	1	0	1
Eotile			1	1	0	1
Epena			2	2	0	2
Epie			6	6	0	6
Epigraphic Mayan			1	1	0	1
Eritai			2	2	0	2
Erromintxela			2	2	0	2
Ersu			2	2	0	2
Erzya			831	874	10	874
Erzya	Shoksha		1	1	0	
Esan			1	1	0	1
Ese			8	8	0	8
Ese Ejja			3	3	1	3
Eshtehardi			40	46	0	46
Esimbi			2	2	0	2
Esmeralda			2	2	0	2
Esperanto			23558	30257	1206	30252
Esperanto	Hijazi Arabic		1	1	0	
Esselen			1	1	0	1
Estonian			13499	16576	716	16576
Estonian	Kihnu subdialect		1	1	0	
Estonian	South Estonian		1	1	0	
Estonian	Tartu dialect		1	1	0	
Estotnian			1	1	0	1
Eten			1	1	0	1
Eteocretan			1	1	0	1
Ethiopian Sign Language			1	1	0	1
Eton (Cameroon)			4	4	0	4
Etruscan			57	58	0	58
Etulo			1	1	0	1
Evant			2	2	0	2
Even			283	290	0	290
Evenki			473	494	2	493
Evenki	Mongolian script		3	3	0	
Ewe			454	604	64	604
Ewondo			6	6	1	6
Extremaduran			331	367	57	367
Eyak			8	8	0	8
Fagani			1	1	0	1
Fakkanci			3	3	0	3
Fala			64	68	1	68
Faliscan			42	46	0	46
Fanagalo			2	2	0	2
Fanamaket			1	1	0	1
Fang (Bantu)			11	12	3	12
Fang (Beboid)			2	2	1	2
Farefare			625	704	0	703
Faroese			5865	6783	116	6783
Faroese	Suðuroy dialect		1	1	0	
Farsi			0	0	1	0
Fas			2	2	0	2
Fasu			1	1	0	1
Fataluku			67	67	0	67
Fayu			1	1	0	1
Fembe			1	1	0	1
Fiji Hindi			80	80	1	80
Fijian			407	437	7	437
Filipino			0	0	1	1
Filipino	Cebuano		1	1	0	
Filipino	Tagalog		1	1	0	
Finish			1	1	0	1
Finnih			1	1	0	1
Finnish			70334	115829	0	115828
Finnish	Ancient		1	1	0	
Finnish	Colloquial Finnish		1	1	0	
Finnnish			1	1	0	1
Finongan			2	2	0	2
Fipa			2	2	0	2
Fiwaga			0	0	1	0
Flemish			11	11	2	12
Flemish	West Flemish		1	1	0	
Flinders Island			0	0	1	0
Fogaha			1	1	0	1
Foi			1	1	0	1
Foia Foia			1	1	0	1
Folopa			2	2	0	2
Fon			20	20	23	20
Fongbe			1	1	0	1
Forak			1	1	0	1
Fordata			1	1	0	1
Fore			3	3	0	3
Fortsenal			0	0	1	0
Fox			21	21	0	21
Franc-Comtois			4	4	0	4
Franco-Provençal			322	345	21	345
Frech			1	1	0	1
French			71218	95407	1745	95450
French	(Belgium, Luxembourg, Switzerland)		1	1	0	
French	(France, Quebec)		1	1	0	
French	Belgium		1	1	0	
French	Cajun French		1	1	0	
French	Canadian French		3	3	0	
French	Gallo		3	3	0	
French	Louisiana French		3	3	0	
French	Middle French		404	426	4	
French	Old French		593	694	4	
French	Picard		1	1	0	
French	{{qualifier|Canada}}		1	1	0	
French 			1	1	0	1
French Canadian			1	1	0	1
Frisian			4	5	3597	3596
Frisian	North Frisian		536	555	132	
Frisian	North Frisian	Amrum	4	4	0	
Frisian	North Frisian	Föhr	24	24	0	
Frisian	North Frisian	Föhr, Hallig	1	1	0	
Frisian	North Frisian	Föhr, Hallig, Wiedingharde	1	1	0	
Frisian	North Frisian	Föhr, Wiedingharde	2	2	0	
Frisian	North Frisian	Föhr-Amrum	79	80	0	
Frisian	North Frisian	Föhr-Amrum and Mooring	2	2	0	
Frisian	North Frisian	Föhr-Amrum and Sylt	1	1	0	
Frisian	North Frisian	Föhr-Amrum, Bökingharde	1	1	0	
Frisian	North Frisian	Föhr-Amrum, Hallig	2	2	0	
Frisian	North Frisian	Föhr-Amrum, Halligen & Mooring	1	1	0	
Frisian	North Frisian	Föhr-Amrum, Helgoland, Sylt	1	1	0	
Frisian	North Frisian	Föhr-Amrum, Mooring	1	1	0	
Frisian	North Frisian	Föhr-Amrum, Sylt	2	2	0	
Frisian	North Frisian	Goesharde, Mooring	1	1	0	
Frisian	North Frisian	Hallig and Mooring	1	1	0	
Frisian	North Frisian	Hallig, Mooring	1	1	0	
Frisian	North Frisian	Hallig, Mooring, Wiedingharde	1	1	0	
Frisian	North Frisian	Halligen	29	29	0	
Frisian	North Frisian	Halligen, Goesharde, Karrharde	1	1	0	
Frisian	North Frisian	Helgoland and Sylt	1	1	0	
Frisian	North Frisian	Heligoland	37	37	0	
Frisian	North Frisian	Heligoland, Sylt	1	1	0	
Frisian	North Frisian	Karrharde	12	12	0	
Frisian	North Frisian	Mooring	62	64	0	
Frisian	North Frisian	Mooring and Hallig	3	3	0	
Frisian	North Frisian	Mooring and Sylt	1	1	0	
Frisian	North Frisian	Mooring, Wiedingharde	1	1	0	
Frisian	North Frisian	Northern Goesharde	15	15	0	
Frisian	North Frisian	Sylt	56	57	0	
Frisian	North Frisian	Wiedingharde	14	14	0	
Frisian	Northern Frisian		2	2	0	
Frisian	Old Frisian		111	116	0	
Frisian	Saterland Frisian		407	426	3	
Frisian	Wangerooge Frisian		1	1	0	
Frisian	West Frisian		2876	3342	5	
Frisian	West Frisian	Town Frisian	1	1	0	
Frisian	Western Frisian		4	4	0	
Friulian			2089	2303	92	2303
Fula			82	90	89	158
Fula	Adlam		63	67	0	
Fula	Latin		63	67	0	
Fula	Pulaar		2	3	0	
Fulani			1	1	0	1
Fulniô			2	2	0	2
Fum			0	0	1	0
Fungwa			2	2	0	2
Fur			9	9	0	9
Futuna-Aniwa			3	3	0	3
Fuyug			5	5	0	5
Fwe			9	9	0	9
Fwâi			12	12	0	12
Fyam			1	1	0	1
Fyer			1	1	0	1
Ga			23	24	2	24
Ga'anda			1	1	0	1
Ga'dang			1	1	0	1
Gaam			3	3	0	3
Gabadi			4	4	0	4
Gabi			5	5	0	5
Gabrielino-Fernandeño			7	7	0	7
Gadang			0	0	1	0
Gaddang			3	3	0	3
Gadjerawang			1	1	0	1
Gadsup			1	1	0	1
Gagadu			6	6	0	6
Gagauz			443	469	11	474
Gagauz	Cyrillic		6	6	0	
Gagauz	Latin		5	5	0	
Gagauz	Moldovan Cyrillic		1	1	0	
Galela			4	4	0	4
Galician			20311	27533	508	27530
Gallo			82	86	17	86
Gallo-Italic of Sicily			1	1	0	1
Gallurese			181	213	1	213
Galo			1	1	0	1
Galoli			2	2	0	2
Gamilaraay			86	89	0	89
Gamkonora			0	0	1	0
Gamo			1	1	0	1
Gana			1	1	0	1
Gandhari			5	5	0	5
Ganza			1	1	0	1
Gapapaiwa			1	1	0	1
Garawa			3	3	0	3
Garhwali			6	6	0	6
Garifuna			24	24	0	24
Garo			30	31	0	31
Garrwa			1	1	0	1
Garus			1	1	0	1
Gaulish			14	14	0	14
Gavak			1	1	0	1
Gavar			1	1	0	1
Gawar-Bati			1	1	0	1
Gawwada			2	2	0	2
Gayil			1	1	0	1
Gayo			8	8	0	8
Gayón			1	1	0	1
Gbagyi			1	1	0	1
Gban			1	1	0	1
Gbanu			1	1	0	1
Gbanziri			1	1	0	1
Gbari			3	3	0	3
Gbaya			1	1	0	1
Gbaya-Bossangoa			1	1	0	1
Gbaya-Bozoum			1	1	0	1
Gbayi			1	1	0	1
Gbe			0	0	7	7
Gbe	Saxwe Gbe		6	7	0	
Gciriku			2	2	0	2
Gcwi			1	1	0	1
Ge'ez			181	192	6	192
Gedaged			3	3	0	3
Geji			1	1	0	1
Gela			5	5	0	5
Gelao			0	0	3	3
Gelao	A'ou		2	2	0	
Gelao	Green Gelao		1	1	0	
Gelao	Red Gelao		2	2	0	
Gelao	White Gelao		1	1	0	
Gen			3	3	2	3
Gende			1	1	0	1
Georgian			18572	23169	1800	23179
Georgian	Old Georgian		53	53	1	
Gerka			3	3	0	3
German			67361	95636	226	95691
German	Alemannic German		920	995	1	
German	Alemannic German	Alsatian Alemannic German	2	3	0	
German	Alsatian Alemannic German		8	8	0	
German	Austrian German		2	2	0	
German	Bavarian		445	508	7	
German	Central Franconian		131	150	3	
German	Central Franconian	Kölsch	1	1	0	
German	Central Franconian (Ripuarian)		1	1	0	
German	Central German		1	1	0	
German	Colognian		1	1	0	
German	East Central German		73	78	1	
German	East Franconian		5	5	0	
German	Franconian		1	1	0	
German	Germany		1	1	0	
German	High Saxonian		1	1	0	
German	Hochpreußisch		1	1	0	
German	Kölnisch		1	1	0	
German	Kölsch		1	1	0	
German	Low German		1	1	0	
German	Middle High German		98	101	0	
German	Middle High German / Early New High German		2	2	0	
German	Middle Low German		2	2	0	
German	Oberlausitzisch		1	1	0	
German	Old High German		185	209	1	
German	Palatine German		1	1	0	
German	Pennsylvania German		7	8	0	
German	Regional German		2	2	0	
German	Rhine Franconian		77	97	1	
German	Saterland Frisian		1	1	0	
German	Silesian East Central German		18	19	0	
German	Swabian		63	89	0	
German	Swabian German		3	3	0	
German	Switzerland German		1	1	0	
German	Volhynian German		1	1	0	
German	Walser German		1	1	0	
